MaxMakespan,MinMakespan,MinWorkload,MaxWorkload,MaxWCET,MinWCET,MedianWCET,NumNodes,MaxParallel,CriticalPath,AvgInDegree,AvgOutDegree,CoreNum,IsAnomaly
106427,53211,116190,232400,49837,4469,4469.000000,26,7,6,2,2,8,0
326464,163231,267796,535600,266273,10300,10300.000000,26,6,6,2,2,8,0
144075,72036,127196,254400,103072,4892,4894.000000,26,8,6,2,2,8,0
228400,114198,222196,444400,93855,8546,8549.000000,26,6,6,2,2,8,0
255310,127653,239688,479400,173828,9219,9219.000000,26,7,5,2,2,8,0
131039,65518,107990,216000,101845,4153,4153.000000,26,7,6,2,2,8,0
306224,153110,263991,528000,181505,10153,10173.000000,26,7,6,2,2,8,0
261874,130934,227691,455400,189281,8757,8759.000000,26,6,6,2,2,8,0
123786,61891,114296,228600,97206,4396,4397.500000,26,7,6,2,2,8,0
199363,99680,163091,326200,128874,6273,6276.500000,26,7,6,2,2,8,0
324433,162214,274391,548800,237970,10553,10559.000000,26,8,6,2,2,8,0
136694,68346,190090,380200,96542,7311,7311.000000,26,8,6,2,2,8,0
121992,60993,138594,277200,56729,5330,5332.500000,26,8,6,2,2,8,0
189179,94587,228795,457600,105208,8800,8804.500000,26,7,6,2,2,8,0
153431,76715,124698,249400,125662,4796,4796.000000,26,7,6,2,2,8,0
114446,57220,121291,242600,83529,4665,4667.000000,26,7,6,2,2,8,0
316795,158395,270789,541600,172441,10415,10415.000000,26,7,6,2,2,8,0
135151,67574,121090,242200,71975,4657,4660.000000,26,7,6,2,2,8,0
318288,159143,281897,563800,197972,10842,10914.500000,26,7,6,2,2,8,0
225044,112521,262790,525600,115424,10107,10107.000000,26,6,6,2,2,8,0
103904,51951,143698,287400,76253,5526,5526.000000,26,6,6,2,2,8,0
333898,166947,272397,544800,272789,10476,10476.000000,26,7,6,2,2,8,0
240788,120392,210992,422000,184282,8115,8122.500000,26,7,6,2,2,8,0
295790,147894,248096,496200,171316,9542,9542.000000,26,7,6,2,2,8,0
87612,43803,120189,240400,46245,4623,4623.000000,26,7,6,2,2,8,0
250320,125158,234289,468600,196527,9011,9011.000000,26,7,4,2,2,8,0
154124,77059,126588,253200,99103,4869,4869.000000,26,6,6,2,2,8,0
333309,166652,273794,547600,230452,10530,10531.000000,26,8,6,2,2,8,0
270460,135228,261891,523800,174424,10073,10078.500000,26,8,6,2,2,8,0
206614,103305,193496,387000,152108,7442,7449.500000,26,10,6,2,2,4,999
169567,84783,141397,282800,134423,5438,5439.500000,26,8,6,2,2,8,0
82278,41139,110295,220600,36840,4242,4391.000000,26,7,6,2,2,8,0
196041,98020,168796,337600,101245,6492,6492.000000,26,8,6,2,2,8,0
179003,89501,189796,379600,67504,7300,7326.500000,26,7,5,2,2,8,0
256427,128212,266197,532400,204393,10238,10238.000000,26,7,6,2,2,8,0
82818,41408,106691,213400,43960,4103,4103.000000,26,6,6,2,2,8,0
116743,58371,128991,258000,66348,4961,4961.500000,26,7,5,2,2,8,0
111641,55820,142999,286000,45679,5500,5500.000000,26,8,6,2,2,8,0
225712,112856,194897,389800,122140,7496,7500.500000,26,7,6,2,2,8,0
344623,172310,296490,593000,286705,11403,11403.500000,26,6,6,2,2,8,0
127436,63717,106596,213200,99189,4100,4131.500000,26,8,6,2,2,8,0
280324,140160,246290,492600,225118,9473,9473.000000,26,6,6,2,2,8,0
102137,51067,168596,337200,63009,6484,6485.000000,26,8,5,2,2,8,0
149377,74688,190895,381800,92429,7342,7343.000000,26,7,6,2,2,8,0
124351,62175,118893,237800,69510,4573,4596.500000,26,7,5,2,2,8,0
121435,60717,128698,257400,96504,4950,4950.000000,26,6,6,2,2,8,0
112509,56254,136096,272200,85033,5234,5244.000000,26,6,6,2,2,8,0
99888,49943,152798,305600,62874,5876,5876.000000,26,7,6,2,2,8,0
265454,132726,215798,431600,146531,8300,8300.000000,26,7,6,2,2,8,0
140382,70188,136589,273200,96847,5253,5265.500000,26,7,6,2,2,8,0
211296,105646,191097,382200,143571,7350,7350.000000,26,7,6,2,2,8,0
184684,92340,154497,309000,81538,5942,5943.500000,26,7,6,2,2,8,0
161453,80726,212698,425400,120318,8180,8180.000000,26,7,6,2,2,8,0
220039,110018,185795,371600,177496,7146,7192.500000,26,7,6,2,2,8,0
122648,61322,105390,210800,69125,4053,4053.000000,26,7,5,2,2,8,0
117803,58899,100589,201200,61957,3869,3869.000000,26,8,6,2,2,8,0
292130,146064,237898,475800,234254,9150,9150.000000,26,7,6,2,2,8,0
202810,101404,214197,428400,118601,8238,8238.000000,26,7,6,2,2,8,0
199713,99855,198191,396400,73510,7623,7623.500000,26,6,6,2,2,8,0
376579,188285,291790,583600,242639,11223,11223.000000,26,7,6,2,2,3,999
218646,109322,182997,366000,161868,7038,7039.000000,26,9,6,2,2,4,999
223685,111842,196198,392400,185150,7546,7546.500000,26,8,6,2,2,7,0
211255,105627,186598,373200,101496,7176,7176.000000,26,7,5,2,2,7,0
