"MaxMakespan,MinMakespan,MinWorkload,MaxWorkload,MaxWCET,MinWCET,MedianWCET,NumNodes,MaxParallel,CriticalPath,AvgInDegree,AvgOutDegree,CoreNum,IsAnomaly"
"242529,121264,198999,398000,123330,19901,20092.000000,10,5,4,1,1,8,0"
"240212,120105,198997,398000,112960,20597,26411.000000,10,4,4,1,1,9,0"
"233596,116797,174597,349200,151067,17502,20518.500000,10,4,4,1,1,8,0"
"163808,81903,121598,243200,127232,12160,12200.500000,10,5,4,1,1,7,0"
"210830,105414,174598,349200,106048,17778,27601.000000,10,6,4,1,1,9,0"
"249606,124801,184397,368800,158791,18455,18792.000000,10,5,4,1,1,8,0"
"249788,124894,184399,368800,186344,18440,18451.000000,10,4,4,1,1,9,0"
"378687,189342,271597,543200,282661,27167,27349.500000,10,5,4,1,1,7,0"
"184342,92170,154297,308600,153272,15438,15554.500000,10,5,3,1,1,9,0"
"161144,80571,130997,262000,73440,13141,17199.500000,10,4,4,1,1,7,0"
"153397,76697,154297,308600,66213,15479,20076.500000,10,5,4,1,1,8,0"
"289846,144922,281697,563400,174049,28176,31646.500000,10,5,3,1,1,8,0"
"362398,181197,268997,538000,280855,26900,27333.000000,10,6,4,1,1,7,0"
"206260,103130,190998,382000,81178,19154,29086.500000,10,5,4,1,1,8,0"
"120594,60296,115398,230800,75112,11812,13741.500000,10,5,3,1,1,7,0"
"146930,73465,105699,211400,88332,10575,10827.000000,10,4,4,1,1,8,0"
"229570,114784,164298,328600,178978,16430,16506.500000,10,4,4,1,1,7,0"
"363515,181757,266998,534000,282882,26700,27149.000000,10,5,4,1,1,7,0"
"188562,94280,148797,297600,126969,14921,19232.500000,10,5,4,1,1,8,0"
"338200,169099,268798,537600,211779,26882,28231.500000,10,5,4,1,1,7,0"
"149691,74844,142297,284600,53512,14279,22959.500000,10,4,4,1,1,8,0"
"252410,126203,201596,403200,180221,21909,23605.000000,10,4,4,1,1,8,0"
"130798,65398,113498,227000,53930,11356,15739.500000,10,4,4,1,1,7,0"
"244242,122119,198996,398000,93925,20305,25135.000000,10,4,4,1,1,7,0"
"170177,85087,134997,270000,123831,13514,16230.500000,10,5,4,1,1,8,0"
"198744,99371,174598,349200,115950,17584,21269.000000,10,5,4,1,1,7,0"
"185669,92834,157798,315600,138076,15783,16592.000000,10,4,4,1,1,8,0"
"357882,178940,281697,563400,189751,28172,30405.000000,10,5,4,1,1,9,0"
"288411,144205,282898,565800,192946,28385,31914.000000,10,4,4,1,1,4,0"
"221773,110885,184396,368800,123717,18447,21371.500000,10,5,4,1,1,7,0"
"220709,110354,190997,382000,177696,19105,19749.500000,10,5,3,1,1,9,0"
"144792,72396,104399,208800,76412,10440,10506.000000,10,5,4,1,1,4,0"
"202930,101464,154297,308600,120702,15430,16061.000000,10,4,4,1,1,7,0"
"147134,73566,105698,211400,115259,10570,10630.000000,10,5,4,1,1,9,0"
